member_id,first_name,last_name,email_address,gender,age,phone_number,home_address,membership_type,membership_start_date,membership_end_date,membership_fee,payment_status,payment_method,hours_committed,signed_up
1,Roseann,McOwen,rmcowen0@psu.edu,Female,14,385-992-4025,03 Bunker Hill Alley,Basic,8/19/2023,9/15/2024,56,Pending,Credit Card,18,true
2,Stanislaus,Lightowler,slightowler1@ning.com,Polygender,14,954-885-4347,8 East Circle,Officer,3/1/2024,10/14/2023,176,Paid,Cash,49,false
3,Jessa,Joscelyne,jjoscelyne2@amazon.com,Female,16,224-444-6763,6 Miller Park,Officer,4/16/2024,9/9/2023,182,Paid,Paypal,8,true
4,Cathi,O'Currane,cocurrane3@admin.ch,Female,18,948-666-3245,81 Gerald Center,Officer,2/22/2024,2/29/2024,170,Paid,Credit Card,44,false
5,Ashla,Gillum,agillum4@gmpg.org,Female,16,836-421-2139,679 8th Lane,Officer,1/29/2025,6/1/2024,126,Pending,Cash,18,true
6,Jacintha,Mason,jmason5@amazonaws.com,Female,18,443-239-1952,05057 Canary Park,Basic,5/16/2024,11/4/2024,48,Pending,Cash,2,true
7,Beret,Shiel,bshiel6@techcrunch.com,Polygender,20,650-306-2138,4257 7th Junction,Officer,8/7/2024,9/19/2024,114,Paid,Cash,46,true
8,Meagan,Yonge,myonge7@icio.us,Female,19,806-578-7883,27668 Marcy Circle,Officer,2/17/2024,11/25/2024,156,Paid,Credit Card,26,false
9,Reeta,Perillo,rperillo8@t.co,Female,17,134-995-2196,1 Dayton Court,Officer,10/6/2023,12/25/2023,119,Overdue,Credit Card,22,true
10,Odell,Farrin,ofarrin9@walmart.com,Male,14,312-431-7598,091 Grim Alley,Officer,4/10/2025,3/30/2025,166,Pending,Paypal,18,true
11,Claudie,Stollmeier,cstollmeiera@canalblog.com,Female,19,434-108-2839,3924 Talisman Court,Officer,9/6/2024,1/12/2024,159,Overdue,Paypal,49,false
12,Cyndie,Paulsson,cpaulssonb@fastcompany.com,Female,20,138-792-8148,25466 Ruskin Parkway,Team Lead,4/14/2024,8/31/2024,151,Overdue,Paypal,46,true
13,Briant,Gooms,bgoomsc@wordpress.com,Agender,15,817-827-2556,3977 Valley Edge Street,Basic,4/25/2024,2/5/2025,133,Overdue,Cash,3,true
14,Justin,Lebang,jlebangd@github.com,Male,18,294-879-1857,36645 Coleman Crossing,Officer,3/7/2024,1/8/2024,192,Pending,Paypal,29,true
15,Vinita,Harlock,vharlocke@csmonitor.com,Female,20,358-412-2386,2152 1st Place,Team Lead,5/13/2025,6/3/2024,155,Pending,Cash,36,false
16,Carmelle,O'Malley,comalleyf@php.net,Female,16,915-362-7050,499 Spaight Junction,Basic,8/23/2024,5/17/2024,40,Paid,Credit Card,29,false
17,Carly,Markushkin,cmarkushking@last.fm,Male,17,307-649-4094,636 American Ash Hill,Team Lead,6/1/2024,3/2/2024,194,Overdue,Paypal,6,false
18,Andie,Presswell,apresswellh@prlog.org,Male,18,663-822-4841,87 Iowa Hill,Team Lead,2/26/2025,3/24/2024,77,Paid,Cash,47,true
19,Burt,Chinnock,bchinnocki@aboutads.info,Male,20,274-167-6176,781 Green Ridge Junction,Team Lead,5/26/2024,4/25/2024,184,Paid,Credit Card,42,true
20,Raoul,Briscam,rbriscamj@bbc.co.uk,Male,16,168-807-6201,3 Dottie Point,Officer,4/24/2024,12/7/2024,51,Pending,Paypal,6,false
21,Olivie,Gornar,ogornark@usatoday.com,Female,14,567-185-7898,1 American Ash Terrace,Basic,1/20/2024,6/27/2024,179,Paid,Paypal,49,true
22,Devy,Molineux,dmolineuxl@hubpages.com,Bigender,20,897-621-7049,34 Glendale Parkway,Basic,9/21/2023,12/3/2023,76,Paid,Paypal,15,false
23,Puff,Gripton,pgriptonm@google.com.br,Male,20,377-212-2406,2 Larry Parkway,Officer,9/1/2024,1/20/2025,187,Overdue,Cash,47,false
24,Marta,Stenson,mstensonn@istockphoto.com,Female,20,477-575-1223,266 Boyd Avenue,Team Lead,5/16/2025,4/16/2024,66,Overdue,Credit Card,32,true
25,Rich,Penner,rpennero@theguardian.com,Male,14,515-772-5465,91 Rusk Avenue,Officer,10/4/2024,6/13/2024,131,Overdue,Credit Card,24,true
26,Fania,Steet,fsteetp@feedburner.com,Non-binary,19,949-235-8801,99713 Marcy Place,Officer,1/31/2024,9/1/2023,121,Pending,Cash,48,true
27,Dael,Stitcher,dstitcherq@free.fr,Genderfluid,15,354-106-3286,00760 Artisan Parkway,Team Lead,9/7/2024,4/23/2025,88,Paid,Paypal,6,false
28,Elysha,Hegdonne,ehegdonner@ebay.co.uk,Female,19,833-368-6081,325 Old Gate Road,Officer,8/26/2024,4/8/2025,55,Overdue,Cash,44,false
29,Raina,Revely,rrevelys@vimeo.com,Female,18,954-419-9455,93858 Luster Junction,Basic,1/21/2025,6/14/2024,32,Paid,Cash,25,true
30,Lynn,Riste,lristet@parallels.com,Female,14,564-978-0174,7 Brown Place,Basic,5/30/2024,8/20/2023,31,Pending,Cash,34,false
